SALES_SUM,THIRD,PRODUCT_GROUP,PRODUCER
0.99,3,KÜLMUT.PUUVILI,POLSKI OGROD
1.34,3,VÄRSKE KÖÖGIVILI,HISPAANIA
0.75,3,KRÕPSUD,BALSNACK
3.19,1,HÜGIEENITOOTED,SCA HYGIENE
0.65,3,MAGUSROAD,TERE AS
0.78,2,PAGARITOOTED,EESTI
1.7,1,KOMMID,KALEV
1.75,3,HÜGIEENITOOTED,SCA HYGIENE
0.58,1,PIIM,FARMI PIIMATÖÖSTUS AS
0.75,2,JUUSTUD,VIGALA PIIMATÖÖSTUS OÜ
1.09,3,VALMISTOIT,SAARIOINEN EESTI OÜ
0.75,1,PAGARITOOTED,FAZER EESTI AS
0.32,1,PIIMATOOTED,SAAREMAA DELIFOOD OÜ
0.73,3,PIIMATOOTED,FARMI PIIMATÖÖSTUS AS
2.7,3,TUBAKATOOTED,IMPERIAL TOBACCO
0.7,1,PAGARITOOTED,EESTI PAGAR
0.55,3,KODUKAUBAD,WETTEX
0.49,1,SUUVÄRSKENDAJAD,FERRERO
4.688,3,VÄRSKE LIHA,NÕO LIHATÖÖSTUS AS
3.29,1,VALMISTOIT,MAKSIKÖÖK
1.35,3,KUIV.PUUV. JA PÄHKLID,MOGYI
1.29,2,KOMMID,WRIGLEY
1.36,1,KRÕPSUD,LATFOOD
2.7,2,TUBAKATOOTED,BRITISH AMERICAN TOBACCOLAND
0.89,3,KOMMID,KALEV
3.03,3,VALMISTOIT,ANIMEX
2.97,3,VÄRSKE PUUVILI,SAKSAMAA
0.34,1,KARASTUS-JA TONISEERIVAD JOOGID,A. LE COQ
3.56,3,VÄRSKE LIHA,TALLEGG AS
0.72,2,PAGARITOOTED,FAZER EESTI AS
0.79,1,PIIMATOOTED,FARMI PIIMATÖÖSTUS AS
9.98,1,KANGE ALKOHOL,LIVIKO
5.4,2,TUBAKATOOTED,IMPERIAL TOBACCO
1.08,3,VÄRSKE KÖÖGIVILI,PRANTSUSMAA
1.85,2,KALAKONSERVID,TAI
1.29,3,PAGARITOOTED,EESTI LEIVATÖÖSTUS
1.02,2,VÄRSKE KÖÖGIVILI,MAROKO
2.09,3,VÄRSKE LIHA,RAKVERE LIHAKOMBINAAT AS
0.97,2,VALMISTOIT,RANNAROOTSI LIHATÖÖSTUS
1.31,3,VÄRSKE PUUVILI,PANAMA
2.29,1,ÕLU,A. LE COQ
2.1,2,PIIM,TERE AS
0.48,2,VÄRSKE PUUVILI,PANAMA
0.65,3,PIIMATOOTED,VALIO EESTI AS
1.34,2,PIIM,NOPRI TALUMEIEREI OÜ
4.99,1,KANGE ALKOHOL,LIVIKO
2.5,4,"SINK, VORST",RAKVERE LIHAKOMBINAAT AS
0.51,3,KARASTUS-JA TONISEERIVAD JOOGID,A. LE COQ
1.23,3,VALMISTOIT,MAKSIKÖÖK
1.49,3,KRÕPSUD,UAB ESTRELLA BALTICS
1.49,3,VÄRSKE PUUVILI,BRASIILIA
0.75,2,"VÕI, MARGARIIN, VÕIDED",RAISIO OY
3.2,2,TUBAKATOOTED,JT INTERNATIONAL
0.83,3,VÄRSKE KÖÖGIVILI,HISPAANIA
0.15,3,VÄRSKE PUUVILI,BRASIILIA
1.59,2,VESI,IDS BORJOMI BEVERAGES CO N.V
1.59,2,ÐOKOLAADID,FAZER CONFECTINERY
1.56,2,VALMISTOIT,TALLEGG AS
0.54,1,PIIMATOOTED,FARMI PIIMATÖÖSTUS AS
4.59,3,KOHV,GUSTAV PAULIG LDT
0.48,3,PAGARITOOTED,EESTI PAGAR
1.79,1,VALMISTOIT,RAKVERE LIHAKOMBINAAT AS
1.59,2,PIIMATOOTED,VALIO EESTI AS
1.49,3,KARASTUS-JA TONISEERIVAD JOOGID,LOOTSI EXPRESSO OÜ
1.01,3,VÄRSKE KÖÖGIVILI,EESTI
0.64,2,JÄÄTIS,EESTI
0.95,1,VÄRSKE KÖÖGIVILI,POOLA
1.41,1,KOMMID,NA
0.69,3,JOGURT,TERE AS
1.2,3,LEMMIKLOOMATOIDUD,NESTLE
0.57,2,"KÜPSISED, VAHVLID",ADUGS SIA LÄTI
0.5,2,"SUPID, PULJONGID, KASTMED",NESTLE
0.59,3,PIIM,TERE AS
0.75,1,PIIMATOOTED,VALIO EESTI AS
1.09,3,TEE,HIINA
1.14,3,LEMMIKLOOMATOIDUD,NESTLE
0.69,1,JÄÄTIS,PREMIA TALLINNA KÜLMHOONE AS
1.55,2,"SINK, VORST",EESTI
0.99,1,VALMISTOIT,RANNAROOTSI LIHATÖÖSTUS
1.69,3,JÄÄTIS,UNILEVER FINLAND OY
0.57,2,PIIMATOOTED,ESTOVER PIIMATÖÖSTUS
1.99,3,KÜLMUT.KÖÖGIVILI,OERLEMANS FOODS SP. Z O.O.
4.95,4,"VALGUSTID, VALGUSELEMENDID",LEEDU
0.79,2,KARASTUS-JA TONISEERIVAD JOOGID,A. LE COQ
1.49,1,JUUSTUD,SAAREMAA PT
1.32,2,KOMMID,HARIBO
0.997,2,RIIS,BALTI VESKI
1.26,2,VÄRSKE LIHA,VALGA LIHATSEHH
1.35,2,LEMMIKLOOMATOIDUD,MARS
0.95,1,KOMMID,AUSTRIA
0.89,4,PASTA,ADRIANA
0.65,1,HÜGIEENITOOTED,COLGATE&PALMOLIVE
10.49,3,KANGE ALKOHOL,JOSEPH GAUTIER & FILS
1.75,3,"VÕI, MARGARIIN, VÕIDED",SAAREMAA PT
2.29,3,ÐOKOLAADID,KALEV
1.18,1,HOMMIKUSÖÖGID,SANGASTE
0.97,2,MAITSEAINED,SANTA MARIA AS
0.75,2,VALMISTOIT,MAKSIKÖÖK
0.63,3,LEMMIKLOOMATOIDUD,NESTLE
2.19,3,PIIMATOOTED,FARMI PIIMATÖÖSTUS AS
0.42,3,HÜGIEENITOOTED,COLGATE&PALMOLIVE
0.85,3,"SINK, VORST",SAAREMAA LIHATÖÖSTUS OÜ
3.25,1,KOHV,MEIRA
2.89,2,KANGE ALKOHOL,LIVIKO
0.4,3,KOMMID,HISPAANIA
1.99,1,KOMMID,PANDA AB OY
0.5,3,PÕHIROA KONTSENTRAADID,OOO MAREVEN FOOD
0.75,3,PIIM,TERE AS
0.96,3,JÄÄTIS,EESTI
1.39,3,"SINK, VORST",ATRIA EESTI AS
2.15,1,PIIMATOOTED,FERRERO
2.39,1,ÕLU,HACKER PSCHORR BRÄU GMBH
13.29,3,KANGE ALKOHOL,MARTELL & CO
1.05,2,KUIV.PUUV. JA PÄHKLID,HOLLAND
1.09,1,PÕHIROA KONTSENTRAADID,UNILEVER
1.1,3,KUIV.PUUV. JA PÄHKLID,ARGENTIINA
0.57,1,PIIMATOOTED,EESTI
0.55,3,KUIV.PUUV. JA PÄHKLID,ARGENTIINA
0.88,2,PIIMATOOTED,ZOTT
2,2,"KALENDRID, PERIOODIKA",LEHEPUNKT
0.49,2,PAGARITOOTED,EESTI PAGAR
1.39,2,PIIMATOOTED,TERE AS
1.19,2,KODUKAUBAD,EUROOPA LIIT
0.99,1,PAGARITOOTED,FAZER EESTI AS
0.59,3,SUHKUR,SOOME
0.73,2,PAGARITOOTED,EESTI PAGAR
0.75,1,PAGARITOOTED,LEIBUR AS
1.15,1,JUUSTUD,EESTI JUUSTU TOOTMISE OÜ
0.89,4,LEMMIKLOOMATOIDUD,SATURN PETFOOD GMBH
1.09,1,KRÕPSUD,FRITO-LAY POLAND
0.54,3,PIIM,FARMI PIIMATÖÖSTUS AS
1.98,1,MUNAD,EESTI
2.15,3,TÖÖDELDUD KALATOOTED,VIRU RAND OÜ
0.49,3,PAGARITOOTED,EESTI PAGAR
0.31,3,VÄRSKE KÖÖGIVILI,EESTI
1.49,3,KUIVAINED,HALJAS PAKKETSEHH
0.64,2,"KÜPSISED, VAHVLID",STABURADZES KONDITOREJA SIA
19.98,1,ÕLU,A. LE COQ
1.19,1,MAHL,A. LE COQ
1.45,3,MUNAD,LINNU TALU OÜ
1.55,3,KARASTUS-JA TONISEERIVAD JOOGID,COCA-COLA HBC
0.89,1,KOMMID,ROSHEN
0.58,3,PAGARITOOTED,LEIBUR AS
2.69,3,HÜGIEENITOOTED,UNILEVER
0.8,2,VÄRSKE KÖÖGIVILI,HISPAANIA
0.65,3,PAGARITOOTED,LEIBUR AS
3.99,2,KOHV,GUSTAV PAULIG LDT
0.89,3,PAGARITOOTED,FAZER EESTI AS
0.7,3,PAGARITOOTED,EESTI PAGAR
0.92,3,VESI,A. LE COQ
5.99,1,KALAKONSERVID,NATURAL NORTH CAVIAR
0.89,3,KÜLMUT.KÖÖGIVILI,HORTEX
1.13,1,KODUKAUBAD,SCA HYGIENE
0.95,2,PAGARITOOTED,LEIBUR AS
1.83,1,"SINK, VORST",RANNAROOTSI LIHATÖÖSTUS
0.67,2,PIIMATOOTED,FARMI PIIMATÖÖSTUS AS
0.71,1,PIIMATOOTED,VALIO EESTI AS
0.79,2,JOGURT,DANONE
0.73,3,PAGARITOOTED,EESTI PAGAR
1.5,3,"KALENDRID, PERIOODIKA",EESTI
0.65,2,PAGARITOOTED,EESTI PAGAR
2.29,3,KONDIITRITOOTED,EESTI PAGAR
